Country name,value,year
Montenegro,"607,414",2021
Cabo Verde,"589,451",2021
Brunei,"471,103",2021
Malta,"460,891",2021
Belize,"405,633",2021
Maldives,"390,669",2021
Iceland,"354,234",2021
"Bahamas, The","352,655",2021
Vanuatu,"303,009",2021
Barbados,"301,865",2021
French Polynesia,"297,154",2021
New Caledonia,"293,608",2021
Sao Tome and Principe,"213,948",2021
Samoa,"204,898",2021
Guam,"168,801",2021
Saint Lucia,"166,637",2021
Curacao,"151,885",2021
Aruba,"120,917",2021
Grenada,"113,570",2021
Kiribati,"113,001",2021
Virgin Islands,"105,870",2021
Tonga,"105,780",2021
"Micronesia, Federated States of","101,675",2021
Jersey,"101,476",2021
Saint Vincent and the Grenadines,"101,145",2021
Antigua and Barbuda,"99,175",2021
Seychelles,"96,387",2021
Isle of Man,"90,895",2021
Andorra,"85,645",2021
Marshall Islands,"78,831",2021
Dominica,"74,584",2021
Bermuda,"72,084",2021
Guernsey,"67,334",2021
Cayman Islands,"63,131",2021
Greenland,"57,799",2021
Turks and Caicos Islands,"57,196",2021
Saint Kitts and Nevis,"54,149",2021
Faroe Islands,"51,943",2021
Northern Mariana Islands,"51,659",2021
American Samoa,"46,366",2021
Sint Maarten,"44,564",2021
Liechtenstein,"39,425",2021
British Virgin Islands,"37,891",2021
San Marino,"34,467",2021
Saint Martin,"32,680",2021
Monaco,"31,223",2021
Gibraltar,"29,516",2021
Palau,"21,613",2021
Anguilla,"18,403",2021
Wallis and Futuna,"15,851",2021
Tuvalu,"11,448",2021
Nauru,"9,770",2021
Cook Islands,"8,327",2021
"Saint Helena, Ascension, and Tristan da Cunha","7,915",2021
Saint Barthelemy,"7,116",2021
Montserrat,"5,387",2021
Saint Pierre and Miquelon,"5,321",2021
Falkland Islands (Islas Malvinas),"3,198",est.
Svalbard,"2,926",2021
Christmas Island,"2,205",est.
Niue,"2,000",2021
Norfolk Island,"1,748",est.
Tokelau,"1,647",est.
Paracel Islands,"1,440",2014
Holy See (Vatican City),"1,000",est.
Cocos (Keeling) Islands,596,2014
Pitcairn Islands,50,est.
